change_type,entity_type,category,ticker,name,horizon_months,previous_rank,current_rank,rank_delta,previous_return,current_return,return_delta,previous_report_date,current_report_date,detail
within_category,stock,"Digital Health, Specialty, Benefits",LFMD,LifeMD,12,10,10,0,-0.478005865103,-0.463452566096,0.014553299007,2026-08-10,2026-08-17,"LifeMD moved from rank #10 to #10 within Digital Health, Specialty, Benefits at 12 months; return -47.8% to -46.3%."
within_category,stock,"Digital Health, Specialty, Benefits",LFMD,LifeMD,24,8,8,0,-0.34438305709,-0.337811900192,0.006571156898,2026-08-10,2026-08-17,"LifeMD moved from rank #8 to #8 within Digital Health, Specialty, Benefits at 24 months; return -34.4% to -33.8%."
within_category,stock,"Digital Health, Specialty, Benefits",LFMD,LifeMD,3,10,10,0,-0.255230125523,-0.203233256351,0.051996869172,2026-08-10,2026-08-17,"LifeMD moved from rank #10 to #10 within Digital Health, Specialty, Benefits at 3 months; return -25.5% to -20.3%."
within_category,stock,"Digital Health, Specialty, Benefits",OMDA,Omada Health,12,4,4,0,0.244479495268,0.1709693132,-0.073510182068,2026-08-10,2026-08-17,"Omada Health moved from rank #4 to #4 within Digital Health, Specialty, Benefits at 12 months; return +24.4% to +17.1%."
within_category,stock,"Digital Health, Specialty, Benefits",OMDA,Omada Health,24,,,,,,,2026-08-10,2026-08-17,"Omada Health moved from rank unavailable within Digital Health, Specialty, Benefits at 24 months; return unavailable."
within_category,stock,"Digital Health, Specialty, Benefits",OMDA,Omada Health,3,2,3,-1,0.597165991903,0.451690821256,-0.145475170647,2026-08-10,2026-08-17,"Omada Health moved from rank #2 to #3 within Digital Health, Specialty, Benefits at 3 months; return +59.7% to +45.2%."
within_category,stock,"Digital Health, Specialty, Benefits",PGNY,Progyny,12,5,6,-1,0.229759299781,0.123076923077,-0.106682376704,2026-08-10,2026-08-17,"Progyny moved from rank #5 to #6 within Digital Health, Specialty, Benefits at 12 months; return +23.0% to +12.3%."
within_category,stock,"Digital Health, Specialty, Benefits",PGNY,Progyny,24,6,6,0,0.300323924109,0.249049429658,-0.051274494451,2026-08-10,2026-08-17,"Progyny moved from rank #6 to #6 within Digital Health, Specialty, Benefits at 24 months; return +30.0% to +24.9%."
within_category,stock,"Digital Health, Specialty, Benefits",PGNY,Progyny,3,6,6,0,0.184654300169,0.130322580645,-0.054331719524,2026-08-10,2026-08-17,"Progyny moved from rank #6 to #6 within Digital Health, Specialty, Benefits at 3 months; return +18.5% to +13.0%."
within_category,stock,"Digital Health, Specialty, Benefits",TALK,Talkspace,12,1,1,0,1.088,1.05078125,-0.03721875,2026-08-10,2026-08-17,"Talkspace moved from rank #1 to #1 within Digital Health, Specialty, Benefits at 12 months; return +108.8% to +105.1%."
